close,datetime,datetimeISO8601,high,low,open,volume
122.23,1131343200000,,122.62,121.85,122.37,46765400
122.23,1131429600000,,122.42,121.79,121.93,42152800
122.39,1131516000000,,122.95,121.86,122.08,57666800
123.34,1131602400000,,123.52,121.75,122.34,79048096
123.76,1131688800000,,123.84,122.43,123.35,34867000
123.69,1131948000000,,124.02,123.38,123.79,45092200
123.24,1132034400000,,124.09,122.86,123.55,69592496
123.49,1132120800000,,123.55,122.98,123.37,51133000
124.64,1132207200000,,124.65,123.14,123.68,55717500
125.13,1132293600000,,125.76,124.33,125.06,72437200
125.76,1132552800000,,125.91,124.98,125.15,50021200
126.3,1132639200000,,126.52,125.42,125.56,66438800
127.03,1132725600000,,127.41,126.21,126.25,50854700
127.13,1132898400000,,127.22,126.81,126.98,15270000
126.23,1133157600000,,127.27,126.04,127.25,54498500
126.09,1133244000000,,126.98,126.09,126.65,51738900
125.41,1133330400000,,126.52,125.29,126.16,56007200
126.69,1133416800000,,127.03,125.98,126.02,65468200
126.85,1133503200000,,127.08,126.5,126.77,46699400
126.58,1133762400000,,126.73,126.18,126.7,59273400
126.82,1133848800000,,127.74,126.63,127.05,57935200
126.08,1133935200000,,126.87,125.68,126.77,66816500
126.0,1134021600000,,126.82,125.48,126.22,62577000
126.33,1134108000000,,126.78,125.82,126.16,50744500
126.45,1134367200000,,126.86,125.96,126.71,48389900
127.31,1134453600000,,127.7,126.29,126.42,88630896
127.81,1134540000000,,128.09,127.14,127.19,64374900
127.44,1134626400000,,128.0,127.18,127.84,55900300
126.36,1134712800000,,127.36,126.36,127.28,46238300
125.71,1134972000000,,126.87,125.69,126.73,48733000
125.83,1135058400000,,126.59,125.48,125.86,46603200
126.03,1135144800000,,126.76,125.8,126.22,51801200
126.69,1135231200000,,126.69,126.08,126.31,32247900
126.76,1135317600000,,126.86,126.42,126.78,27977300
125.47,1135663200000,,127.05,125.38,126.96,44499500
125.75,1135749600000,,125.99,125.5,125.8,30764300
125.19,1135836000000,,125.96,125.06,125.72,32788900
124.51,1135922400000,,125.06,124.36,124.8,44645600
126.7,1136268000000,,127.0,124.39,125.19,73256704
127.3,1136354400000,,127.49,126.7,126.86,51899600
127.38,1136440800000,,127.59,126.88,127.15,47307500
128.44,1136527200000,,128.58,127.36,128.02,62885900
128.77,1136786400000,,129.06,128.38,128.42,43527400
128.89999,1136872800000,,128.98,128.25999,128.39,44960800
129.31,1136959200000,,129.44,128.73,129.02,49598900
128.8,1137045600000,,129.28,128.44,129.08,40509200
128.67999,1137132000000,,128.89999,128.2,128.57001,44856700
128.33,1137477600000,,128.42,127.81,128.2,52066600
127.82,1137564000000,,128.89999,127.16,127.58,75067600
128.31,1137650400000,,128.77,127.81,128.13,81530400
125.97,1137736800000,,128.31,125.97,128.28,114957800
126.42,1137996000000,,126.82,126.13,126.21,67017400
126.55,1138082400000,,127.15,126.42,126.63,53008800
126.66,1138168800000,,127.18,125.84,127.04,87747696
127.36,1138255200000,,127.67,126.76,127.25,71294000
128.53999,1138341600000,,128.66,127.45,127.66,65771200
128.44,1138600800000,,128.81,128.35001,128.44,33709600
127.5,1138687200000,,128.53999,127.49,128.32001,72937000
128.39,1138773600000,,128.42999,127.72,127.82,63561000
126.9,1138860000000,,128.14,126.8,128.10001,83626896
126.27,1138946400000,,128.39,126.14,126.58,86040400
126.6,1139205600000,,126.8,126.17,126.44,45511900
125.48,1139292000000,,126.66,125.4,126.38,71208096
126.62,1139378400000,,128.10001,125.6,125.85,59422200
126.41,1139464800000,,127.6,126.37,126.92,62023300
126.64,1139551200000,,127.13,125.45,126.43,64508700
126.41,1139810400000,,126.79,125.95,126.6,52308700
127.75,1139896800000,,128.03,126.21,126.46,90964400
128.2,1139983200000,,128.32001,127.24,127.68,85471296
129.16,1140069600000,,129.21001,128.17999,128.34,61017900
128.81,1140156000000,,129.16,128.58,129.05,40342600
128.49001,1140501600000,,129.39999,128.28999,129.11,46456300
129.27,1140588000000,,129.64999,128.64999,128.77,42326700
129.08,1140674400000,,129.64,128.28,129.27,43423200
129.41,1140760800000,,129.48,128.75999,129.11,36777400
129.46001,1141020000000,,130.03999,129.28,129.39999,35858600
128.23,1141106400000,,129.91,128.13,129.2,74394800
129.37,1141192800000,,129.49001,128.5,128.60001,48641600
129.36,1141279200000,,129.42,128.61,128.89999,60642300
128.75999,1141365600000,,130.07001,128.64999,128.67,73402496
128.17,1141624800000,,129.17999,127.85,129.14,57478400
127.97,1141711200000,,128.06,127.4,127.86,61780800
